TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,001000,1 ASSAMESE,2199,1499,700,0,0,0,2199,1499,700
C0116,28,000,000000,ANDHRA PRADESH,001002, Assamese,2124,1435,689,0,0,0,2124,1435,689
C0116,28,000,000000,ANDHRA PRADESH,001999,1 Others,75,64,11,0,0,0,75,64,11
C0116,28,000,000000,ANDHRA PRADESH,002000,2 BENGALI ,36212,20167,16045,0,0,0,36212,20167,16045
C0116,28,000,000000,ANDHRA PRADESH,002007, Bengali,36199,20158,16041,0,0,0,36199,20158,16041
C0116,28,000,000000,ANDHRA PRADESH,002011, Chakma,7,6,1,0,0,0,7,6,1
C0116,28,000,000000,ANDHRA PRADESH,002015, Haijong/Hajong,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,002999,2 Others,5,3,2,0,0,0,5,3,2
C0116,28,000,000000,ANDHRA PRADESH,003000,3 BODO ,576,286,290,0,0,0,576,286,290
C0116,28,000,000000,ANDHRA PRADESH,003001, Bodo/Boro,127,70,57,0,0,0,127,70,57
C0116,28,000,000000,ANDHRA PRADESH,003003, Kachari,449,216,233,0,0,0,449,216,233
C0116,28,000,000000,ANDHRA PRADESH,004000,4 DOGRI ,732,539,193,0,0,0,732,539,193
C0116,28,000,000000,ANDHRA PRADESH,004001, Dogri,732,539,193,0,0,0,732,539,193
C0116,28,000,000000,ANDHRA PRADESH,005000,5 GUJARATI,53598,27173,26425,0,0,0,53598,27173,26425
C0116,28,000,000000,ANDHRA PRADESH,005018, Gujarati,44873,22805,22068,0,0,0,44873,22805,22068
C0116,28,000,000000,ANDHRA PRADESH,005052, Pattani,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,005057, Saurashtra/Saurashtri,2281,1146,1135,0,0,0,2281,1146,1135
C0116,28,000,000000,ANDHRA PRADESH,005999,5 Others,6443,3222,3221,0,0,0,6443,3222,3221
C0116,28,000,000000,ANDHRA PRADESH,006000,6 HINDI ,864740,459226,405514,0,0,0,864740,459226,405514
C0116,28,000,000000,ANDHRA PRADESH,006030, Awadhi,42,27,15,0,0,0,42,27,15
C0116,28,000,000000,ANDHRA PRADESH,006040, Baghati/Baghati Pahari,3,3,0,0,0,0,3,3,0
C0116,28,000,000000,ANDHRA PRADESH,006066, Banjari,8647,4651,3996,0,0,0,8647,4651,3996
C0116,28,000,000000,ANDHRA PRADESH,006086, Bhadrawahi,7,6,1,0,0,0,7,6,1
C0116,28,000,000000,ANDHRA PRADESH,006096, Bharmauri/Gaddi,23,14,9,0,0,0,23,14,9
C0116,28,000,000000,ANDHRA PRADESH,006102, Bhojpuri,7129,4177,2952,0,0,0,7129,4177,2952
C0116,28,000,000000,ANDHRA PRADESH,006123, Brajbhasha,2,2,0,0,0,0,2,2,0
C0116,28,000,000000,ANDHRA PRADESH,006125, Bundeli/Bundel khandi,32,17,15,0,0,0,32,17,15
C0116,28,000,000000,ANDHRA PRADESH,006133, Chambeali/Chamrali,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,006142, Chhattisgarhi,209,95,114,0,0,0,209,95,114
C0116,28,000,000000,ANDHRA PRADESH,006149, Churahi,5,2,3,0,0,0,5,2,3
C0116,28,000,000000,ANDHRA PRADESH,006173, Dhundhari,61,26,35,0,0,0,61,26,35
C0116,28,000,000000,ANDHRA PRADESH,006195, Garhwali,262,135,127,0,0,0,262,135,127
C0116,28,000,000000,ANDHRA PRADESH,006198, Gawari,22,12,10,0,0,0,22,12,10
C0116,28,000,000000,ANDHRA PRADESH,006207, Gojri/Gujjari/Gujar,28,25,3,0,0,0,28,25,3
C0116,28,000,000000,ANDHRA PRADESH,006235, Haryanvi,502,280,222,0,0,0,502,280,222
C0116,28,000,000000,ANDHRA PRADESH,006240, Hindi,570565,305778,264787,0,0,0,570565,305778,264787
C0116,28,000,000000,ANDHRA PRADESH,006265, Jaunpuri/Jaunsari,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,006291, Kangri,4,3,1,0,0,0,4,3,1
C0116,28,000,000000,ANDHRA PRADESH,006320, Khortha/Khotta,26,16,10,0,0,0,26,16,10
C0116,28,000,000000,ANDHRA PRADESH,006336, Kulvi,119,55,64,0,0,0,119,55,64
C0116,28,000,000000,ANDHRA PRADESH,006340, Kumauni,80,51,29,0,0,0,80,51,29
C0116,28,000,000000,ANDHRA PRADESH,006345, Kurmali Thar,9,6,3,0,0,0,9,6,3
C0116,28,000,000000,ANDHRA PRADESH,006353, Lamani/Lambadi,166493,85838,80655,0,0,0,166493,85838,80655
C0116,28,000,000000,ANDHRA PRADESH,006358, Lodhi,47,25,22,0,0,0,47,25,22
C0116,28,000,000000,ANDHRA PRADESH,006376, Magadhi/Magahi,114,63,51,0,0,0,114,63,51
C0116,28,000,000000,ANDHRA PRADESH,006391, Malvi,2,0,2,0,0,0,2,0,2
C0116,28,000,000000,ANDHRA PRADESH,006394, Mandeali,5,4,1,0,0,0,5,4,1
C0116,28,000,000000,ANDHRA PRADESH,006400, Marwari,72902,38123,34779,0,0,0,72902,38123,34779
C0116,28,000,000000,ANDHRA PRADESH,006420, Nagpuria,5,1,4,0,0,0,5,1,4
