AREA_NAME,ASSAMESE,BENGALI,GURJARATI,HINDI,KANNADA,KASHMIRI,KONKANI,MALAYALAM,MANIPURI,MARATHI,NEPALI,ORIYA,PUNJABI,SANSKRIT,SINDHI,TAMIL,TELUGU,URDU,TOTAL,ASSAMESE_P,BENGALI_P,GURJARATI_P,HINDI_P,KANNADA_P,KASHMIRI_P,KONKANI_P,MALAYALAM_P,MANIPURI_P,MARATHI_P,NEPALI_P,ORIYA_P,PUNJABI_P,SANSKRIT_P,SINDHI_P,TAMIL_P,TELUGU_P,URDU_P
ANDAMAN & NICOBAR ISL,54,64706,193,49469,323,8.0,64.0,26075,7.0,539,393,841,1752,0.0,24,53536,32979,1492,232455.0,0.00023230302639220494,0.27835925232840764,0.0008302682239573251,0.21281108171474047,0.0013895162504570777,3.441526316921555e-05,0.0002753221053537244,0.11217224839216193,3.0113355273063604e-05,0.0023187283560258975,0.0016906498031877138,0.0036179045406637845,0.007536942634058205,0.0,0.00010324578950764664,0.23030694112839045,0.14187262050719493,0.0064184465810587
ANDHRA PRADESH,1302,30281,43844,1841290,519507,612.0,3794.0,66409,221.0,503609,6634,259947,24773,199.0,12919,753484,56375755,5560154,66004734.0,1.972585784528728e-05,0.0004587701239732289,0.0006642553850758644,0.027896332405490793,0.007870753634125698,9.272062212992177e-06,5.748072554917046e-05,0.0010061248031088194,3.348244688024953e-06,0.007629892122586237,0.00010050794235455899,0.003938308424968427,0.00037532156405629936,3.0149352620677177e-06,0.00019572838517916002,0.011415605432180061,0.8541168425888968,0.08423871536244658
ARUNACHAL PRADESH,48222,70771,140,63196,182,46.0,74.0,5046,1137.0,548,81176,9211,2061,6.0,25,887,1333,1370,285431.0,0.16894450848015807,0.24794433680994707,0.0004904863171834874,0.2214055235766262,0.0006376322123385336,0.0001611597899317173,0.00025925705336841476,0.017678528260770553,0.003983449590268751,0.0019199035844039364,0.28439798059776267,0.032270496196979304,0.007220659283679769,2.1020842165006604e-05,8.758684235419418e-05,0.0031075811667268098,0.004670130434325634,0.0047997589610098415
ASSAM,12958088,4856532,5484,1035474,565,88.0,609.0,3575,126987.0,1533,432519,140782,14289,7.0,852,1770,22816,3935,19605905.0,0.6609278174101119,0.2477076166593687,0.00027971164809785623,0.0528143944388183,2.8817848500235007e-05,4.488443660213593e-06,3.1062070330341806e-05,0.00018234302369617725,0.006476977216812996,7.819072876258453e-05,0.02206064958490822,0.00718059176559307,0.0007288110393271822,3.5703529115335404e-07,4.345629543752252e-05,9.027892362020524e-05,0.001163731028993561,0.00020070483866977833
BIHAR,564,2523040,21589,69845979,934,191.0,348.0,15157,0.0,7745,21122,404443,84956,802.0,4766,16304,33008,8542463,81523411.0,6.9182581185176365e-06,0.030948655963377196,0.0002648196356749597,0.8567597717421318,1.1456831706906867e-05,2.342885284817143e-06,4.268712456106627e-06,0.00018592205372760961,0.0,9.500338497857995e-05,0.00025909121982150624,0.004961065723807852,0.0010421055615545821,9.837664913211249e-06,5.846173438449478e-05,0.00019999163185161623,0.0004048898297447343,0.10478539716646547
CHANDIGARH ,237,3034,1398,392054,350,1109.0,126.0,2435,168.0,1093,2416,683,222890,45.0,171,5318,1131,4570,639228.0,0.0003707597289230134,0.004746350285031319,0.0021870130845332183,0.6133241973130088,0.0005475354646542392,0.0017349052294330035,0.0001971127672755261,0.003809282446951635,0.0002628170230340348,0.0017098750367630954,0.0037795590931561196,0.001068476349596701,0.3486862277622382,7.039741688411647e-05,0.00026751018415964255,0.008319410288660697,0.001769321744354127,0.007149248781342495
DAMAN & DIU,1,134,92579,3645,167,0.0,158.0,283,0.0,1256,81,46,134,0.0,80,100,95,84,98843.0,1.0117054318464636e-05,0.001355685278674261,0.9366267717491376,0.036876662990803596,0.001689548071183594,0.0,0.0015984945823174124,0.002863126372125492,0.0,0.012707020223991583,0.0008194813997956354,0.00046538449864937326,0.001355685278674261,0.0,0.0008093643454771709,0.0010117054318464636,0.0009611201602541405,0.0008498325627510294
DELHI ,2730,121938,26732,7690631,9923,11360.0,2518.0,64952,221.0,20393,26390,13099,748145,587.0,37381,84873,22882,512990,9397745.0,0.0002904952198639142,0.01297524033691061,0.0028445121675465764,0.8183485506363495,0.0010558915995273334,0.0012088006218513058,0.0002679366167096468,0.006911445245641375,2.3516279703269243e-05,0.0021699886515328943,0.0028081204586845035,0.0013938450128195647,0.07960899130589306,6.246179269601378e-05,0.003977656342026731,0.00903120908260439,0.002434839421584646,0.054586499208054695
GOA,145,1839,4461,37073,54323,212.0,602626.0,12962,36.0,390270,960,683,1830,8.0,372,6818,7949,39944,1162511.0,0.00012473000255481455,0.0015819205151607167,0.003837383044117432,0.03189045092906648,0.04672902019851855,0.00018236386580428057,0.5183830518592942,0.011150002021486248,3.096744891016085e-05,0.33571295239356874,0.0008257986376042893,0.000587521322378885,0.0015741786529331766,6.881655313369078e-06,0.0003199969720716621,0.005864890740818796,0.00683778476074635,0.03436010497965181
GUJARAT,789,20809,37792933,1215825,13513,379.0,40820.0,57701,125.0,566191,9126,38277,43669,81.0,704088,34498,49109,547737,41135670.0,1.9180433915382926e-05,0.0005058626734413224,0.9187387248098791,0.02955646522835291,0.00032849835677892204,9.213415023992559e-06,0.0009923261247476946,0.0014026998952490625,3.0387252717653558e-06,0.01376399120276879,0.0002218512546410451,0.0009305062978189003,0.0010615847511417707,1.9690939761039505e-06,0.01711623999317381,0.00083863955540289,0.001193830074968999,0.013315378113447527
