AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  13,079,696 ","  6,798,622 ","  6,281,074 ","  11,873,675 ","  6,144,332 ","  5,729,343 ","  1,206,021 ","  654,290 ","  551,731 "
Andhra Pradesh,"  1,302 ",  957 ,  345 ,  56 ,  37 ,  19 ,"  1,246 ",  920 ,  326 
Arunachal Pradesh,"  48,222 ","  28,018 ","  20,204 ","  36,437 ","  21,330 ","  15,107 ","  11,785 ","  6,688 ","  5,097 "
Assam,"  12,958,088 ","  6,725,043 ","  6,233,045 ","  11,794,053 ","  6,097,264 ","  5,696,789 ","  1,164,035 ","  627,779 ","  536,256 "
Bihar,  564 ,  380 ,  184 ,  207 ,  159 ,  48 ,  357 ,  221 ,  136 
Goa,  145 ,  114 ,  31 ,  6 ,  3 ,  3 ,  139 ,  111 ,  28 
Gujarat,  789 ,  536 ,  253 ,  97 ,  70 ,  27 ,  692 ,  466 ,  226 
Haryana,  348 ,  163 ,  185 ,  114 ,  63 ,  51 ,  234 ,  100 ,  134 
Himachal Pradesh,  226 ,  133 ,  93 ,  128 ,  82 ,  46 ,  98 ,  51 ,  47 
Karnataka,  829 ,  573 ,  256 ,  44 ,  40 ,  4 ,  785 ,  533 ,  252 
Kerala,  264 ,  180 ,  84 ,  119 ,  91 ,  28 ,  145 ,  89 ,  56 
Madhya Pradesh,"  1,059 ",  735 ,  324 ,  73 ,  49 ,  24 ,  986 ,  686 ,  300 
Maharashtra,"  2,310 ","  1,515 ",  795 ,  144 ,  99 ,  45 ,"  2,166 ","  1,416 ",  750 
Manipur,"  1,685 ","  1,442 ",  243 ,"  1,344 ","  1,199 ",  145 ,  341 ,  243 ,  98 
Meghalaya,"  34,118 ","  19,196 ","  14,922 ","  25,595 ","  13,986 ","  11,609 ","  8,523 ","  5,210 ","  3,313 "
Mizoram,  808 ,  665 ,  143 ,  221 ,  212 ,  9 ,  587 ,  453 ,  134 
Nagaland,"  13,144 ","  8,284 ","  4,860 ","  9,211 ","  5,723 ","  3,488 ","  3,933 ","  2,561 ","  1,372 "
Orissa,  370 ,  255 ,  115 ,  90 ,  60 ,  30 ,  280 ,  195 ,  85 
Punjab,"  1,809 ","  1,331 ",  478 ,  770 ,  537 ,  233 ,"  1,039 ",  794 ,  245 
Rajasthan,"  2,135 ","  1,624 ",  511 ,  575 ,  467 ,  108 ,"  1,560 ","  1,157 ",  403 
Sikkim,  77 ,  51 ,  26 ,  60 ,  39 ,  21 ,  17 ,  12 ,  5 
Tamil Nadu,  509 ,  365 ,  144 ,  99 ,  74 ,  25 ,  410 ,  291 ,  119 
Tripura,  989 ,  865 ,  124 ,  856 ,  786 ,  70 ,  133 ,  79 ,  54 
Uttar Pradesh,"  2,844 ","  1,875 ",  969 ,  685 ,  407 ,  278 ,"  2,159 ","  1,468 ",  691 
West Bengal,"  4,021 ","  2,430 ","  1,591 ","  2,577 ","  1,485 ","  1,092 ","  1,444 ",  945 ,  499 
Andaman & Nicobar Isl,  54 ,  34 ,  20 ,  28 ,  17 ,  11 ,  26 ,  17 ,  9 
Chandigarh ,  237 ,  133 ,  104 ,  6 ,  4 ,  2 ,  231 ,  129 ,  102 
Daman & Diu,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 ,  1 ,  -   
Delhi ,"  2,730 ","  1,713 ","  1,017 ",  80 ,  49 ,  31 ,"  2,650 ","  1,664 ",  986 
Pondicherry ,  19 ,  11 ,  8 ,  -   ,  -   ,  -   ,  19 ,  11 ,  8 
