AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  40,673,814 ","  20,925,198 ","  19,748,616 ","  26,615,002 ","  13,634,497 ","  12,980,505 ","  14,058,812 ","  7,290,701 ","  6,768,111 "
Andhra Pradesh,"  43,844 ","  22,701 ","  21,143 ","  4,130 ","  2,225 ","  1,905 ","  39,714 ","  20,476 ","  19,238 "
Arunachal Pradesh,  140 ,  91 ,  49 ,  98 ,  60 ,  38 ,  42 ,  31 ,  11 
Assam,"  5,484 ","  2,907 ","  2,577 ","  4,695 ","  2,470 ","  2,225 ",  789 ,  437 ,  352 
Bihar,"  21,589 ","  11,318 ","  10,271 ","  3,568 ","  1,879 ","  1,689 ","  18,021 ","  9,439 ","  8,582 "
Goa,"  4,461 ","  2,420 ","  2,041 ",  861 ,  448 ,  413 ,"  3,600 ","  1,972 ","  1,628 "
Gujarat,"  37,792,933 ","  19,441,964 ","  18,350,969 ","  26,211,300 ","  13,427,628 ","  12,783,672 ","  11,581,633 ","  6,014,336 ","  5,567,297 "
Haryana,"  2,266 ","  1,155 ","  1,111 ",  201 ,  98 ,  103 ,"  2,065 ","  1,057 ","  1,008 "
Himachal Pradesh,  592 ,  369 ,  223 ,  353 ,  246 ,  107 ,  239 ,  123 ,  116 
Karnataka,"  53,785 ","  28,103 ","  25,682 ","  9,304 ","  4,835 ","  4,469 ","  44,481 ","  23,268 ","  21,213 "
Kerala,"  6,369 ","  3,273 ","  3,096 ",  297 ,  149 ,  148 ,"  6,072 ","  3,124 ","  2,948 "
Madhya Pradesh,"  198,397 ","  101,768 ","  96,629 ","  69,294 ","  35,591 ","  33,703 ","  129,103 ","  66,177 ","  62,926 "
Maharashtra,"  2,016,381 ","  1,039,787 ","  976,594 ","  173,697 ","  90,320 ","  83,377 ","  1,842,684 ","  949,467 ","  893,217 "
Manipur,  94 ,  69 ,  25 ,  65 ,  51 ,  14 ,  29 ,  18 ,  11 
Meghalaya,  94 ,  70 ,  24 ,  46 ,  37 ,  9 ,  48 ,  33 ,  15 
Mizoram,  23 ,  17 ,  6 ,  5 ,  3 ,  2 ,  18 ,  14 ,  4 
Nagaland,  127 ,  108 ,  19 ,  107 ,  99 ,  8 ,  20 ,  9 ,  11 
Orissa,"  24,636 ","  12,745 ","  11,891 ","  9,498 ","  4,813 ","  4,685 ","  15,138 ","  7,932 ","  7,206 "
Punjab,"  4,352 ","  2,412 ","  1,940 ",  507 ,  291 ,  216 ,"  3,845 ","  2,121 ","  1,724 "
Rajasthan,"  50,367 ","  24,127 ","  26,240 ","  18,679 ","  7,883 ","  10,796 ","  31,688 ","  16,244 ","  15,444 "
Sikkim,  42 ,  25 ,  17 ,  36 ,  21 ,  15 ,  6 ,  4 ,  2 
Tamil Nadu,"  244,921 ","  124,207 ","  120,714 ","  24,006 ","  12,168 ","  11,838 ","  220,915 ","  112,039 ","  108,876 "
Tripura,"  1,067 ",  558 ,  509 ,"  1,041 ",  543 ,  498 ,  26 ,  15 ,  11 
Uttar Pradesh,"  11,311 ","  6,208 ","  5,103 ","  2,655 ","  1,492 ","  1,163 ","  8,656 ","  4,716 ","  3,940 "
West Bengal,"  38,319 ","  21,836 ","  16,483 ","  3,520 ","  1,908 ","  1,612 ","  34,799 ","  19,928 ","  14,871 "
Andaman & Nicobar Isl,  193 ,  118 ,  75 ,  71 ,  40 ,  31 ,  122 ,  78 ,  44 
Chandigarh ,"  1,398 ",  723 ,  675 ,  43 ,  22 ,  21 ,"  1,355 ",  701 ,  654 
Dadra & Nagar Haveli,"  30,346 ","  15,626 ","  14,720 ","  25,425 ","  13,015 ","  12,410 ","  4,921 ","  2,611 ","  2,310 "
Daman & Diu,"  92,579 ","  46,021 ","  46,558 ","  50,990 ","  25,891 ","  25,099 ","  41,589 ","  20,130 ","  21,459 "
Delhi ,"  26,732 ","  13,958 ","  12,774 ",  416 ,  214 ,  202 ,"  26,316 ","  13,744 ","  12,572 "
Lakshadweep ,  15 ,  13 ,  2 ,  9 ,  9 ,  -   ,  6 ,  4 ,  2 
Pondicherry ,  957 ,  501 ,  456 ,  85 ,  48 ,  37 ,  872 ,  453 ,  419 
