AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  32,753,676 ","  16,721,648 ","  16,032,028 ","  25,120,662 ","  12,746,462 ","  12,374,200 ","  7,633,014 ","  3,975,186 ","  3,657,828 "
Andhra Pradesh,"  519,507 ","  261,528 ","  257,979 ","  408,102 ","  204,363 ","  203,739 ","  111,405 ","  57,165 ","  54,240 "
Arunachal Pradesh,  182 ,  120 ,  62 ,  112 ,  73 ,  39 ,  70 ,  47 ,  23 
Assam,  565 ,  387 ,  178 ,  293 ,  230 ,  63 ,  272 ,  157 ,  115 
Bihar,  934 ,  596 ,  338 ,  249 ,  204 ,  45 ,  685 ,  392 ,  293 
Goa,"  54,323 ","  30,556 ","  23,767 ","  22,720 ","  12,842 ","  9,878 ","  31,603 ","  17,714 ","  13,889 "
Gujarat,"  13,513 ","  7,668 ","  5,845 ","  1,931 ","  1,225 ",  706 ,"  11,582 ","  6,443 ","  5,139 "
Haryana,  936 ,  437 ,  499 ,  177 ,  67 ,  110 ,  759 ,  370 ,  389 
Himachal Pradesh,  323 ,  191 ,  132 ,  217 ,  137 ,  80 ,  106 ,  54 ,  52 
Karnataka,"  29,785,004 ","  15,191,826 ","  14,593,178 ","  23,253,783 ","  11,795,764 ","  11,458,019 ","  6,531,221 ","  3,396,062 ","  3,135,159 "
Kerala,"  75,571 ","  38,358 ","  37,213 ","  61,672 ","  31,337 ","  30,335 ","  13,899 ","  7,021 ","  6,878 "
Madhya Pradesh,"  8,307 ","  4,681 ","  3,626 ","  2,537 ","  1,317 ","  1,220 ","  5,770 ","  3,364 ","  2,406 "
Maharashtra,"  1,060,701 ","  559,149 ","  501,552 ","  545,067 ","  281,910 ","  263,157 ","  515,634 ","  277,239 ","  238,395 "
Manipur,  153 ,  121 ,  32 ,  85 ,  66 ,  19 ,  68 ,  55 ,  13 
Meghalaya,  281 ,  198 ,  83 ,  142 ,  102 ,  40 ,  139 ,  96 ,  43 
Mizoram,  31 ,  30 ,  1 ,  7 ,  7 ,  -   ,  24 ,  23 ,  1 
Nagaland,  122 ,  74 ,  48 ,  68 ,  36 ,  32 ,  54 ,  38 ,  16 
Orissa,"  1,743 ",  956 ,  787 ,  664 ,  355 ,  309 ,"  1,079 ",  601 ,  478 
Punjab,"  1,742 ","  1,073 ",  669 ,  662 ,  366 ,  296 ,"  1,080 ",  707 ,  373 
Rajasthan,"  3,101 ","  2,131 ",  970 ,  704 ,  494 ,  210 ,"  2,397 ","  1,637 ",  760 
Sikkim,  43 ,  22 ,  21 ,  36 ,  15 ,  21 ,  7 ,  7 ,  -   
Tamil Nadu,"  1,208,296 ","  611,200 ","  597,096 ","  818,957 ","  414,007 ","  404,950 ","  389,339 ","  197,193 ","  192,146 "
Tripura,  308 ,  212 ,  96 ,  253 ,  190 ,  63 ,  55 ,  22 ,  33 
Uttar Pradesh,"  3,727 ","  2,323 ","  1,404 ",  582 ,  400 ,  182 ,"  3,145 ","  1,923 ","  1,222 "
West Bengal,"  1,624 ",  939 ,  685 ,  495 ,  325 ,  170 ,"  1,129 ",  614 ,  515 
Andaman & Nicobar Isl,  323 ,  182 ,  141 ,  174 ,  92 ,  82 ,  149 ,  90 ,  59 
Chandigarh ,  350 ,  188 ,  162 ,  -   ,  -   ,  -   ,  350 ,  188 ,  162 
Dadra & Nagar Haveli,  521 ,  286 ,  235 ,  355 ,  187 ,  168 ,  166 ,  99 ,  67 
Daman & Diu,  167 ,  100 ,  67 ,  119 ,  74 ,  45 ,  48 ,  26 ,  22 
Delhi ,"  9,923 ","  5,391 ","  4,532 ",  392 ,  207 ,  185 ,"  9,531 ","  5,184 ","  4,347 "
Lakshadweep ,  65 ,  49 ,  16 ,  31 ,  23 ,  8 ,  34 ,  26 ,  8 
Pondicherry ,"  1,290 ",  676 ,  614 ,  76 ,  47 ,  29 ,"  1,214 ",  629 ,  585 
