AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  56,693 ","  31,445 ","  25,248 ","  32,443 ","  17,253 ","  15,190 ","  24,250 ","  14,192 ","  10,058 "
Andhra Pradesh,  612 ,  332 ,  280 ,  4 ,  4 ,  -   ,  608 ,  328 ,  280 
Arunachal Pradesh,  46 ,  29 ,  17 ,  32 ,  21 ,  11 ,  14 ,  8 ,  6 
Assam,  88 ,  66 ,  22 ,  52 ,  44 ,  8 ,  36 ,  22 ,  14 
Bihar,  191 ,  118 ,  73 ,  33 ,  28 ,  5 ,  158 ,  90 ,  68 
Goa,  212 ,  153 ,  59 ,  20 ,  14 ,  6 ,  192 ,  139 ,  53 
Gujarat,  379 ,  206 ,  173 ,  43 ,  25 ,  18 ,  336 ,  181 ,  155 
Haryana,  923 ,  499 ,  424 ,  41 ,  27 ,  14 ,  882 ,  472 ,  410 
Himachal Pradesh,"  28,778 ","  15,546 ","  13,232 ","  27,361 ","  14,380 ","  12,981 ","  1,417 ","  1,166 ",  251 
Karnataka,"  1,140 ",  772 ,  368 ,  39 ,  30 ,  9 ,"  1,101 ",  742 ,  359 
Kerala,  102 ,  69 ,  33 ,  4 ,  3 ,  1 ,  98 ,  66 ,  32 
Madhya Pradesh,  886 ,  566 ,  320 ,  42 ,  31 ,  11 ,  844 ,  535 ,  309 
Maharashtra,"  2,680 ","  1,522 ","  1,158 ",  142 ,  79 ,  63 ,"  2,538 ","  1,443 ","  1,095 "
Manipur,  27 ,  22 ,  5 ,  16 ,  12 ,  4 ,  11 ,  10 ,  1 
Meghalaya,  29 ,  20 ,  9 ,  14 ,  9 ,  5 ,  15 ,  11 ,  4 
Mizoram,  12 ,  7 ,  5 ,  1 ,  1 ,  -   ,  11 ,  6 ,  5 
Nagaland,  32 ,  24 ,  8 ,  24 ,  16 ,  8 ,  8 ,  8 ,  -   
Orissa,  82 ,  49 ,  33 ,  5 ,  4 ,  1 ,  77 ,  45 ,  32 
Punjab,"  1,083 ",  749 ,  334 ,  317 ,  202 ,  115 ,  766 ,  547 ,  219 
Rajasthan,"  1,005 ",  608 ,  397 ,  363 ,  190 ,  173 ,  642 ,  418 ,  224 
Sikkim,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  4 ,  4 ,  -   
Tamil Nadu,  193 ,  118 ,  75 ,  15 ,  11 ,  4 ,  178 ,  107 ,  71 
Tripura,  12 ,  11 ,  1 ,  12 ,  11 ,  1 ,  -   ,  -   ,  -   
Uttar Pradesh,"  5,227 ","  2,915 ","  2,312 ","  3,609 ","  1,951 ","  1,658 ","  1,618 ",  964 ,  654 
West Bengal,  462 ,  322 ,  140 ,  62 ,  51 ,  11 ,  400 ,  271 ,  129 
Andaman & Nicobar Isl,  8 ,  3 ,  5 ,  2 ,  1 ,  1 ,  6 ,  2 ,  4 
Chandigarh ,"  1,109 ",  685 ,  424 ,  19 ,  13 ,  6 ,"  1,090 ",  672 ,  418 
Delhi ,"  11,360 ","  6,024 ","  5,336 ",  171 ,  95 ,  76 ,"  11,189 ","  5,929 ","  5,260 "
Pondicherry ,  11 ,  6 ,  5 ,  -   ,  -   ,  -   ,  11 ,  6 ,  5 
