AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  1,760,607 ","  867,413 ","  893,194 ","  844,239 ","  412,846 ","  431,393 ","  916,368 ","  454,567 ","  461,801 "
Andhra Pradesh,"  3,794 ","  1,874 ","  1,920 ",  202 ,  107 ,  95 ,"  3,592 ","  1,767 ","  1,825 "
Arunachal Pradesh,  74 ,  55 ,  19 ,  70 ,  53 ,  17 ,  4 ,  2 ,  2 
Assam,  609 ,  318 ,  291 ,  569 ,  307 ,  262 ,  40 ,  11 ,  29 
Bihar,  348 ,  162 ,  186 ,  39 ,  19 ,  20 ,  309 ,  143 ,  166 
Goa,"  602,626 ","  294,553 ","  308,073 ","  344,252 ","  167,561 ","  176,691 ","  258,374 ","  126,992 ","  131,382 "
Gujarat,"  40,820 ","  20,570 ","  20,250 ","  35,038 ","  17,582 ","  17,456 ","  5,782 ","  2,988 ","  2,794 "
Haryana,  148 ,  68 ,  80 ,  13 ,  6 ,  7 ,  135 ,  62 ,  73 
Himachal Pradesh,  21 ,  11 ,  10 ,  12 ,  8 ,  4 ,  9 ,  3 ,  6 
Karnataka,"  706,397 ","  348,010 ","  358,387 ","  395,800 ","  194,285 ","  201,515 ","  310,597 ","  153,725 ","  156,872 "
Kerala,"  64,008 ","  31,851 ","  32,157 ","  21,357 ","  10,802 ","  10,555 ","  42,651 ","  21,049 ","  21,602 "
Madhya Pradesh,  924 ,  475 ,  449 ,  141 ,  68 ,  73 ,  783 ,  407 ,  376 
Maharashtra,"  312,618 ","  155,477 ","  157,141 ","  28,918 ","  13,221 ","  15,697 ","  283,700 ","  142,256 ","  141,444 "
Manipur,  8 ,  3 ,  5 ,  4 ,  -   ,  4 ,  4 ,  3 ,  1 
Meghalaya,  42 ,  24 ,  18 ,  6 ,  4 ,  2 ,  36 ,  20 ,  16 
Mizoram,  24 ,  6 ,  18 ,  8 ,  2 ,  6 ,  16 ,  4 ,  12 
Nagaland,  75 ,  37 ,  38 ,  51 ,  23 ,  28 ,  24 ,  14 ,  10 
Orissa,  282 ,  148 ,  134 ,  150 ,  74 ,  76 ,  132 ,  74 ,  58 
Punjab,  53 ,  23 ,  30 ,  9 ,  6 ,  3 ,  44 ,  17 ,  27 
Rajasthan,  126 ,  64 ,  62 ,  9 ,  7 ,  2 ,  117 ,  57 ,  60 
Tamil Nadu,"  6,303 ","  3,127 ","  3,176 ",  409 ,  211 ,  198 ,"  5,894 ","  2,916 ","  2,978 "
Tripura,  4 ,  3 ,  1 ,  -   ,  -   ,  -   ,  4 ,  3 ,  1 
Uttar Pradesh,  364 ,  215 ,  149 ,  120 ,  82 ,  38 ,  244 ,  133 ,  111 
West Bengal,  944 ,  474 ,  470 ,  46 ,  29 ,  17 ,  898 ,  445 ,  453 
Andaman & Nicobar Isl,  64 ,  34 ,  30 ,  17 ,  11 ,  6 ,  47 ,  23 ,  24 
Chandigarh ,  126 ,  57 ,  69 ,  -   ,  -   ,  -   ,  126 ,  57 ,  69 
Dadra & Nagar Haveli,"  17,062 ","  8,422 ","  8,640 ","  16,966 ","  8,357 ","  8,609 ",  96 ,  65 ,  31 
Daman & Diu,  158 ,  86 ,  72 ,  18 ,  11 ,  7 ,  140 ,  75 ,  65 
Delhi ,"  2,518 ","  1,231 ","  1,287 ",  10 ,  6 ,  4 ,"  2,508 ","  1,225 ","  1,283 "
Lakshadweep ,  9 ,  9 ,  -   ,  4 ,  4 ,  -   ,  5 ,  5 ,  -   
Pondicherry ,  58 ,  26 ,  32 ,  1 ,  -   ,  1 ,  57 ,  26 ,  31 
