AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  30,377,176 ","  14,996,162 ","  15,381,014 ","  21,485,405 ","  10,550,517 ","  10,934,888 ","  8,891,771 ","  4,445,645 ","  4,446,126 "
Andhra Pradesh,"  66,409 ","  37,228 ","  29,181 ","  8,159 ","  4,730 ","  3,429 ","  58,250 ","  32,498 ","  25,752 "
Arunachal Pradesh,"  5,046 ","  3,631 ","  1,415 ","  2,877 ","  2,229 ",  648 ,"  2,169 ","  1,402 ",  767 
Assam,"  3,575 ","  2,136 ","  1,439 ","  1,257 ",  803 ,  454 ,"  2,318 ","  1,333 ",  985 
Bihar,"  15,157 ","  7,630 ","  7,527 ","  1,598 ",  881 ,  717 ,"  13,559 ","  6,749 ","  6,810 "
Goa,"  12,962 ","  8,113 ","  4,849 ","  4,170 ","  2,543 ","  1,627 ","  8,792 ","  5,570 ","  3,222 "
Gujarat,"  57,701 ","  33,862 ","  23,839 ","  6,662 ","  4,749 ","  1,913 ","  51,039 ","  29,113 ","  21,926 "
Haryana,"  8,038 ","  4,312 ","  3,726 ",  842 ,  471 ,  371 ,"  7,196 ","  3,841 ","  3,355 "
Himachal Pradesh,"  1,257 ",  812 ,  445 ,  708 ,  533 ,  175 ,  549 ,  279 ,  270 
Karnataka,"  757,030 ","  397,802 ","  359,228 ","  427,300 ","  218,201 ","  209,099 ","  329,730 ","  179,601 ","  150,129 "
Kerala,"  28,096,376 ","  13,764,819 ","  14,331,557 ","  20,714,066 ","  10,146,693 ","  10,567,373 ","  7,382,310 ","  3,618,126 ","  3,764,184 "
Madhya Pradesh,"  80,759 ","  44,185 ","  36,574 ","  8,485 ","  4,897 ","  3,588 ","  72,274 ","  39,288 ","  32,986 "
Maharashtra,"  340,597 ","  199,829 ","  140,768 ","  21,076 ","  14,123 ","  6,953 ","  319,521 ","  185,706 ","  133,815 "
Manipur,"  1,792 ","  1,453 ",  339 ,"  1,260 ","  1,059 ",  201 ,  532 ,  394 ,  138 
Meghalaya,"  2,142 ","  1,442 ",  700 ,  762 ,  558 ,  204 ,"  1,380 ",  884 ,  496 
Mizoram,"  1,375 ","  1,138 ",  237 ,  490 ,  459 ,  31 ,  885 ,  679 ,  206 
Nagaland,"  4,493 ","  3,329 ","  1,164 ","  2,034 ","  1,543 ",  491 ,"  2,459 ","  1,786 ",  673 
Orissa,"  16,246 ","  9,396 ","  6,850 ","  3,094 ","  2,050 ","  1,044 ","  13,152 ","  7,346 ","  5,806 "
Punjab,"  7,139 ","  4,324 ","  2,815 ","  2,396 ","  1,349 ","  1,047 ","  4,743 ","  2,975 ","  1,768 "
Rajasthan,"  26,450 ","  14,540 ","  11,910 ","  5,694 ","  3,082 ","  2,612 ","  20,756 ","  11,458 ","  9,298 "
Sikkim,  710 ,  491 ,  219 ,  576 ,  406 ,  170 ,  134 ,  85 ,  49 
Tamil Nadu,"  661,137 ","  343,671 ","  317,466 ","  221,403 ","  111,648 ","  109,755 ","  439,734 ","  232,023 ","  207,711 "
Tripura,"  1,231 ","  1,054 ",  177 ,"  1,025 ",  932 ,  93 ,  206 ,  122 ,  84 
Uttar Pradesh,"  15,721 ","  9,110 ","  6,611 ","  3,579 ","  2,133 ","  1,446 ","  12,142 ","  6,977 ","  5,165 "
West Bengal,"  17,215 ","  9,579 ","  7,636 ","  3,659 ","  2,254 ","  1,405 ","  13,556 ","  7,325 ","  6,231 "
Andaman & Nicobar Isl,"  26,075 ","  14,152 ","  11,923 ","  16,726 ","  8,969 ","  7,757 ","  9,349 ","  5,183 ","  4,166 "
Chandigarh ,"  2,435 ","  1,304 ","  1,131 ",  63 ,  46 ,  17 ,"  2,372 ","  1,258 ","  1,114 "
Dadra & Nagar Haveli,  803 ,  574 ,  229 ,  347 ,  255 ,  92 ,  456 ,  319 ,  137 
Daman & Diu,  283 ,  195 ,  88 ,  59 ,  47 ,  12 ,  224 ,  148 ,  76 
Delhi ,"  64,952 ","  35,207 ","  29,745 ","  2,409 ","  1,366 ","  1,043 ","  62,543 ","  33,841 ","  28,702 "
Lakshadweep ,"  43,678 ","  22,629 ","  21,049 ","  22,315 ","  11,276 ","  11,039 ","  21,363 ","  11,353 ","  10,010 "
Pondicherry ,"  38,392 ","  18,215 ","  20,177 ",  314 ,  232 ,  82 ,"  38,078 ","  17,983 ","  20,095 "
