AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  1,270,216 ","  638,840 ","  631,376 ","  816,902 ","  410,283 ","  406,619 ","  453,314 ","  228,557 ","  224,757 "
Andhra Pradesh,  221 ,  163 ,  58 ,  2 ,  -   ,  2 ,  219 ,  163 ,  56 
Arunachal Pradesh,"  1,137 ",  737 ,  400 ,  583 ,  394 ,  189 ,  554 ,  343 ,  211 
Assam,"  126,987 ","  62,755 ","  64,232 ","  112,111 ","  54,661 ","  57,450 ","  14,876 ","  8,094 ","  6,782 "
Goa,  36 ,  29 ,  7 ,  7 ,  7 ,  -   ,  29 ,  22 ,  7 
Gujarat,  125 ,  97 ,  28 ,  8 ,  7 ,  1 ,  117 ,  90 ,  27 
Haryana,  75 ,  48 ,  27 ,  34 ,  21 ,  13 ,  41 ,  27 ,  14 
Karnataka,  272 ,  180 ,  92 ,  26 ,  22 ,  4 ,  246 ,  158 ,  88 
Kerala,  81 ,  72 ,  9 ,  38 ,  34 ,  4 ,  43 ,  38 ,  5 
Madhya Pradesh,  231 ,  166 ,  65 ,  3 ,  2 ,  1 ,  228 ,  164 ,  64 
Maharashtra,  748 ,  518 ,  230 ,  54 ,  37 ,  17 ,  694 ,  481 ,  213 
Manipur,"  1,110,134 ","  557,277 ","  552,857 ","  684,617 ","  344,738 ","  339,879 ","  425,517 ","  212,539 ","  212,978 "
Meghalaya,"  1,796 ","  1,189 ",  607 ,  767 ,  507 ,  260 ,"  1,029 ",  682 ,  347 
Mizoram,"  1,084 ",  835 ,  249 ,  135 ,  118 ,  17 ,  949 ,  717 ,  232 
Nagaland,"  5,445 ","  3,381 ","  2,064 ","  2,423 ","  1,501 ",  922 ,"  3,022 ","  1,880 ","  1,142 "
Orissa,  100 ,  67 ,  33 ,  12 ,  7 ,  5 ,  88 ,  60 ,  28 
Punjab,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 ,  1 ,  -   
Rajasthan,  1 ,  -   ,  1 ,  -   ,  -   ,  -   ,  1 ,  -   ,  1 
Sikkim,  42 ,  23 ,  19 ,  35 ,  16 ,  19 ,  7 ,  7 ,  -   
Tamil Nadu,  156 ,  126 ,  30 ,  70 ,  56 ,  14 ,  86 ,  70 ,  16 
Tripura,"  19,737 ","  10,041 ","  9,696 ","  15,534 ","  7,901 ","  7,633 ","  4,203 ","  2,140 ","  2,063 "
Uttar Pradesh,  576 ,  342 ,  234 ,  73 ,  53 ,  20 ,  503 ,  289 ,  214 
West Bengal,  824 ,  478 ,  346 ,  362 ,  195 ,  167 ,  462 ,  283 ,  179 
Andaman & Nicobar Isl,  7 ,  5 ,  2 ,  3 ,  3 ,  -   ,  4 ,  2 ,  2 
Chandigarh ,  168 ,  141 ,  27 ,  -   ,  -   ,  -   ,  168 ,  141 ,  27 
Dadra & Nagar Haveli,  5 ,  3 ,  2 ,  5 ,  3 ,  2 ,  -   ,  -   ,  -   
Delhi ,  221 ,  160 ,  61 ,  -   ,  -   ,  -   ,  221 ,  160 ,  61 
Pondicherry ,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  6 ,  6 ,  -   
