AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  62,481,681 ","  31,970,951 ","  30,510,730 ","  43,280,916 ","  21,897,175 ","  21,383,741 ","  19,200,765 ","  10,073,776 ","  9,126,989 "
Andhra Pradesh,"  503,609 ","  255,013 ","  248,596 ","  336,296 ","  168,730 ","  167,566 ","  167,313 ","  86,283 ","  81,030 "
Arunachal Pradesh,  548 ,  400 ,  148 ,  422 ,  294 ,  128 ,  126 ,  106 ,  20 
Assam,"  1,533 ","  1,095 ",  438 ,  718 ,  577 ,  141 ,  815 ,  518 ,  297 
Bihar,"  7,745 ","  4,346 ","  3,399 ","  1,661 ",  993 ,  668 ,"  6,084 ","  3,353 ","  2,731 "
Goa,"  390,270 ","  199,851 ","  190,419 ","  290,457 ","  147,724 ","  142,733 ","  99,813 ","  52,127 ","  47,686 "
Gujarat,"  566,191 ","  297,934 ","  268,257 ","  95,364 ","  49,682 ","  45,682 ","  470,827 ","  248,252 ","  222,575 "
Haryana,"  3,088 ","  1,510 ","  1,578 ",  678 ,  374 ,  304 ,"  2,410 ","  1,136 ","  1,274 "
Himachal Pradesh,"  1,125 ",  521 ,  604 ,  475 ,  282 ,  193 ,  650 ,  239 ,  411 
Karnataka,"  1,640,020 ","  832,832 ","  807,188 ","  1,019,092 ","  515,419 ","  503,673 ","  620,928 ","  317,413 ","  303,515 "
Kerala,"  31,035 ","  16,281 ","  14,754 ","  26,270 ","  13,346 ","  12,924 ","  4,765 ","  2,935 ","  1,830 "
Madhya Pradesh,"  1,283,977 ","  652,765 ","  631,212 ","  748,044 ","  376,943 ","  371,101 ","  535,933 ","  275,822 ","  260,111 "
Maharashtra,"  57,894,839 ","  29,622,468 ","  28,272,371 ","  40,720,544 ","  20,600,814 ","  20,119,730 ","  17,174,295 ","  9,021,654 ","  8,152,641 "
Manipur,  248 ,  196 ,  52 ,  177 ,  137 ,  40 ,  71 ,  59 ,  12 
Meghalaya,  433 ,  297 ,  136 ,  193 ,  124 ,  69 ,  240 ,  173 ,  67 
Mizoram,  113 ,  99 ,  14 ,  69 ,  62 ,  7 ,  44 ,  37 ,  7 
Nagaland,  260 ,  187 ,  73 ,  138 ,  95 ,  43 ,  122 ,  92 ,  30 
Orissa,"  3,806 ","  2,134 ","  1,672 ",  941 ,  574 ,  367 ,"  2,865 ","  1,560 ","  1,305 "
Punjab,"  5,704 ","  2,632 ","  3,072 ","  2,051 ",  800 ,"  1,251 ","  3,653 ","  1,832 ","  1,821 "
Rajasthan,"  18,142 ","  11,885 ","  6,257 ","  3,405 ","  2,402 ","  1,003 ","  14,737 ","  9,483 ","  5,254 "
Sikkim,  140 ,  88 ,  52 ,  131 ,  79 ,  52 ,  9 ,  9 ,  -   
Tamil Nadu,"  70,045 ","  35,931 ","  34,114 ","  19,788 ","  10,011 ","  9,777 ","  50,257 ","  25,920 ","  24,337 "
Tripura,  434 ,  351 ,  83 ,  370 ,  313 ,  57 ,  64 ,  38 ,  26 
Uttar Pradesh,"  17,698 ","  10,196 ","  7,502 ","  2,907 ","  1,721 ","  1,186 ","  14,791 ","  8,475 ","  6,316 "
West Bengal,"  11,849 ","  6,068 ","  5,781 ","  4,319 ","  2,073 ","  2,246 ","  7,530 ","  3,995 ","  3,535 "
Andaman & Nicobar Isl,  539 ,  287 ,  252 ,  352 ,  184 ,  168 ,  187 ,  103 ,  84 
Chandigarh ,"  1,093 ",  578 ,  515 ,  38 ,  22 ,  16 ,"  1,055 ",  556 ,  499 
Dadra & Nagar Haveli,"  4,936 ","  2,730 ","  2,206 ","  4,192 ","  2,306 ","  1,886 ",  744 ,  424 ,  320 
Daman & Diu,"  1,256 ",  838 ,  418 ,  663 ,  467 ,  196 ,  593 ,  371 ,  222 
Delhi ,"  20,393 ","  11,097 ","  9,296 ","  1,120 ",  596 ,  524 ,"  19,273 ","  10,501 ","  8,772 "
Lakshadweep ,  41 ,  39 ,  2 ,  24 ,  22 ,  2 ,  17 ,  17 ,  -   
Pondicherry ,  571 ,  302 ,  269 ,  17 ,  9 ,  8 ,  554 ,  293 ,  261 
