AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  2,076,645 ","  1,117,221 ","  959,424 ","  1,567,869 ","  830,410 ","  737,459 ","  508,776 ","  286,811 ","  221,965 "
Andhra Pradesh,"  6,634 ","  4,120 ","  2,514 ","  1,945 ","  1,243 ",  702 ,"  4,689 ","  2,877 ","  1,812 "
Arunachal Pradesh,"  81,176 ","  45,855 ","  35,321 ","  64,842 ","  36,710 ","  28,132 ","  16,334 ","  9,145 ","  7,189 "
Assam,"  432,519 ","  226,463 ","  206,056 ","  394,523 ","  205,781 ","  188,742 ","  37,996 ","  20,682 ","  17,314 "
Bihar,"  21,122 ","  11,867 ","  9,255 ","  4,759 ","  2,662 ","  2,097 ","  16,363 ","  9,205 ","  7,158 "
Goa,  960 ,  607 ,  353 ,  448 ,  297 ,  151 ,  512 ,  310 ,  202 
Gujarat,"  9,126 ","  5,714 ","  3,412 ","  1,518 ","  1,053 ",  465 ,"  7,608 ","  4,661 ","  2,947 "
Haryana,"  5,823 ","  3,900 ","  1,923 ","  1,451 ",  985 ,  466 ,"  4,372 ","  2,915 ","  1,457 "
Himachal Pradesh,"  46,649 ","  29,713 ","  16,936 ","  39,629 ","  25,742 ","  13,887 ","  7,020 ","  3,971 ","  3,049 "
Karnataka,"  4,702 ","  3,044 ","  1,658 ",  922 ,  619 ,  303 ,"  3,780 ","  2,425 ","  1,355 "
Kerala,"  1,312 ",  941 ,  371 ,  526 ,  394 ,  132 ,  786 ,  547 ,  239 
Madhya Pradesh,"  13,411 ","  8,025 ","  5,386 ","  1,510 ",  965 ,  545 ,"  11,901 ","  7,060 ","  4,841 "
Maharashtra,"  39,751 ","  24,123 ","  15,628 ","  3,496 ","  2,385 ","  1,111 ","  36,255 ","  21,738 ","  14,517 "
Manipur,"  46,498 ","  25,047 ","  21,451 ","  42,513 ","  22,813 ","  19,700 ","  3,985 ","  2,234 ","  1,751 "
Meghalaya,"  49,186 ","  27,965 ","  21,221 ","  20,862 ","  12,051 ","  8,811 ","  28,324 ","  15,914 ","  12,410 "
Mizoram,"  8,247 ","  5,160 ","  3,087 ","  1,503 ","  1,198 ",  305 ,"  6,744 ","  3,962 ","  2,782 "
Nagaland,"  32,274 ","  19,013 ","  13,261 ","  18,916 ","  10,976 ","  7,940 ","  13,358 ","  8,037 ","  5,321 "
Orissa,"  9,689 ","  5,770 ","  3,919 ","  1,513 ",  960 ,  553 ,"  8,176 ","  4,810 ","  3,366 "
Punjab,"  7,734 ","  5,152 ","  2,582 ","  2,935 ","  2,010 ",  925 ,"  4,799 ","  3,142 ","  1,657 "
Rajasthan,"  6,769 ","  4,809 ","  1,960 ","  1,407 ","  1,147 ",  260 ,"  5,362 ","  3,662 ","  1,700 "
Sikkim,"  256,418 ","  133,981 ","  122,437 ","  237,347 ","  123,937 ","  113,410 ","  19,071 ","  10,044 ","  9,027 "
Tamil Nadu,"  3,627 ","  2,324 ","  1,303 ",  977 ,  650 ,  327 ,"  2,650 ","  1,674 ",  976 
Tripura,"  3,082 ","  1,833 ","  1,249 ","  2,406 ","  1,465 ",  941 ,  676 ,  368 ,  308 
Uttar Pradesh,"  99,859 ","  62,491 ","  37,368 ","  58,777 ","  37,621 ","  21,156 ","  41,082 ","  24,870 ","  16,212 "
West Bengal,"  860,403 ","  439,591 ","  420,812 ","  661,156 ","  335,434 ","  325,722 ","  199,247 ","  104,157 ","  95,090 "
Andaman & Nicobar Isl,  393 ,  251 ,  142 ,  159 ,  103 ,  56 ,  234 ,  148 ,  86 
Chandigarh ,"  2,416 ","  1,700 ",  716 ,  251 ,  166 ,  85 ,"  2,165 ","  1,534 ",  631 
Dadra & Nagar Haveli,  78 ,  56 ,  22 ,  56 ,  39 ,  17 ,  22 ,  17 ,  5 
Daman & Diu,  81 ,  68 ,  13 ,  55 ,  51 ,  4 ,  26 ,  17 ,  9 
Delhi ,"  26,390 ","  17,414 ","  8,976 ","  1,323 ",  843 ,  480 ,"  25,067 ","  16,571 ","  8,496 "
Lakshadweep ,  6 ,  6 ,  -   ,  5 ,  5 ,  -   ,  1 ,  1 ,  -   
Pondicherry ,  310 ,  218 ,  92 ,  139 ,  105 ,  34 ,  171 ,  113 ,  58 
