AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  28,061,313 ","  14,305,077 ","  13,756,236 ","  24,388,823 ","  12,298,079 ","  12,090,744 ","  3,672,490 ","  2,006,998 ","  1,665,492 "
Andhra Pradesh,"  259,947 ","  129,697 ","  130,250 ","  200,160 ","  98,958 ","  101,202 ","  59,787 ","  30,739 ","  29,048 "
Arunachal Pradesh,"  9,211 ","  6,770 ","  2,441 ","  8,093 ","  6,029 ","  2,064 ","  1,118 ",  741 ,  377 
Assam,"  140,782 ","  72,986 ","  67,796 ","  136,281 ","  70,374 ","  65,907 ","  4,501 ","  2,612 ","  1,889 "
Bihar,"  404,443 ","  208,841 ","  195,602 ","  293,327 ","  149,037 ","  144,290 ","  111,116 ","  59,804 ","  51,312 "
Goa,  683 ,  515 ,  168 ,  129 ,  112 ,  17 ,  554 ,  403 ,  151 
Gujarat,"  38,277 ","  30,995 ","  7,282 ","  4,192 ","  3,514 ",  678 ,"  34,085 ","  27,481 ","  6,604 "
Haryana,"  2,634 ","  1,559 ","  1,075 ",  577 ,  372 ,  205 ,"  2,057 ","  1,187 ",  870 
Himachal Pradesh,"  1,607 ","  1,203 ",  404 ,"  1,194 ",  985 ,  209 ,  413 ,  218 ,  195 
Karnataka,"  5,474 ","  3,923 ","  1,551 ","  1,676 ","  1,200 ",  476 ,"  3,798 ","  2,723 ","  1,075 "
Kerala,  733 ,  480 ,  253 ,  166 ,  111 ,  55 ,  567 ,  369 ,  198 
Madhya Pradesh,"  721,348 ","  362,412 ","  358,936 ","  598,962 ","  297,977 ","  300,985 ","  122,386 ","  64,435 ","  57,951 "
Maharashtra,"  38,183 ","  24,230 ","  13,953 ","  7,946 ","  4,991 ","  2,955 ","  30,237 ","  19,239 ","  10,998 "
Manipur,  433 ,  335 ,  98 ,  271 ,  234 ,  37 ,  162 ,  101 ,  61 
Meghalaya,  736 ,  456 ,  280 ,  490 ,  271 ,  219 ,  246 ,  185 ,  61 
Mizoram,  96 ,  77 ,  19 ,  36 ,  35 ,  1 ,  60 ,  42 ,  18 
Nagaland,"  1,965 ","  1,289 ",  676 ,"  1,143 ",  755 ,  388 ,  822 ,  534 ,  288 
Orissa,"  26,199,346 ","  13,310,374 ","  12,888,972 ","  23,063,312 ","  11,624,489 ","  11,438,823 ","  3,136,034 ","  1,685,885 ","  1,450,149 "
Punjab,"  3,987 ","  2,514 ","  1,473 ","  1,477 ",  904 ,  573 ,"  2,510 ","  1,610 ",  900 
Rajasthan,"  10,494 ","  6,217 ","  4,277 ","  5,171 ","  2,972 ","  2,199 ","  5,323 ","  3,245 ","  2,078 "
Sikkim,  110 ,  64 ,  46 ,  82 ,  45 ,  37 ,  28 ,  19 ,  9 
Tamil Nadu,"  2,660 ","  2,073 ",  587 ,  581 ,  433 ,  148 ,"  2,079 ","  1,640 ",  439 
Tripura,"  18,423 ","  9,637 ","  8,786 ","  17,909 ","  9,348 ","  8,561 ",  514 ,  289 ,  225 
Uttar Pradesh,"  14,742 ","  10,617 ","  4,125 ","  9,017 ","  6,976 ","  2,041 ","  5,725 ","  3,641 ","  2,084 "
West Bengal,"  170,001 ","  107,939 ","  62,062 ","  35,232 ","  17,037 ","  18,195 ","  134,769 ","  90,902 ","  43,867 "
Andaman & Nicobar Isl,  841 ,  531 ,  310 ,  716 ,  457 ,  259 ,  125 ,  74 ,  51 
Chandigarh ,  683 ,  409 ,  274 ,  38 ,  26 ,  12 ,  645 ,  383 ,  262 
Dadra & Nagar Haveli,  80 ,  60 ,  20 ,  63 ,  50 ,  13 ,  17 ,  10 ,  7 
Daman & Diu,  46 ,  36 ,  10 ,  33 ,  28 ,  5 ,  13 ,  8 ,  5 
Delhi ,"  13,099 ","  8,687 ","  4,412 ",  528 ,  343 ,  185 ,"  12,571 ","  8,344 ","  4,227 "
Lakshadweep ,  5 ,  5 ,  -   ,  2 ,  2 ,  -   ,  3 ,  3 ,  -   
Pondicherry ,  244 ,  146 ,  98 ,  19 ,  14 ,  5 ,  225 ,  132 ,  93 
