AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  23,378,744 ","  12,333,826 ","  11,044,918 ","  16,015,346 ","  8,460,104 ","  7,555,242 ","  7,363,398 ","  3,873,722 ","  3,489,676 "
Andhra Pradesh,"  24,773 ","  13,669 ","  11,104 ","  1,481 ",  842 ,  639 ,"  23,292 ","  12,827 ","  10,465 "
Arunachal Pradesh,"  2,061 ","  1,380 ",  681 ,"  1,314 ",  920 ,  394 ,  747 ,  460 ,  287 
Assam,"  14,289 ","  8,096 ","  6,193 ","  3,101 ","  1,850 ","  1,251 ","  11,188 ","  6,246 ","  4,942 "
Bihar,"  84,956 ","  46,060 ","  38,896 ","  5,635 ","  3,269 ","  2,366 ","  79,321 ","  42,791 ","  36,530 "
Goa,"  1,830 ","  1,094 ",  736 ,  141 ,  83 ,  58 ,"  1,689 ","  1,011 ",  678 
Gujarat,"  43,669 ","  23,827 ","  19,842 ","  3,683 ","  2,373 ","  1,310 ","  39,986 ","  21,454 ","  18,532 "
Haryana,"  1,170,225 ","  614,299 ","  555,926 ","  821,905 ","  433,618 ","  388,287 ","  348,320 ","  180,681 ","  167,639 "
Himachal Pradesh,"  324,479 ","  163,809 ","  160,670 ","  285,482 ","  143,131 ","  142,351 ","  38,997 ","  20,678 ","  18,319 "
Karnataka,"  13,824 ","  8,293 ","  5,531 ",  982 ,  720 ,  262 ,"  12,842 ","  7,573 ","  5,269 "
Kerala,"  2,201 ","  1,465 ",  736 ,  316 ,  268 ,  48 ,"  1,885 ","  1,197 ",  688 
Madhya Pradesh,"  189,288 ","  101,161 ","  88,127 ","  39,111 ","  21,097 ","  18,014 ","  150,177 ","  80,064 ","  70,113 "
Maharashtra,"  225,511 ","  121,168 ","  104,343 ","  10,716 ","  6,431 ","  4,285 ","  214,795 ","  114,737 ","  100,058 "
Manipur,"  2,031 ","  1,486 ",  545 ,  888 ,  777 ,  111 ,"  1,143 ",  709 ,  434 
Meghalaya,"  4,748 ","  2,753 ","  1,995 ",  867 ,  606 ,  261 ,"  3,881 ","  2,147 ","  1,734 "
Mizoram,  531 ,  468 ,  63 ,  311 ,  288 ,  23 ,  220 ,  180 ,  40 
Nagaland,"  1,466 ","  1,001 ",  465 ,  614 ,  437 ,  177 ,  852 ,  563 ,  289 
Orissa,"  21,205 ","  11,561 ","  9,644 ","  2,343 ","  1,405 ",  938 ,"  18,862 ","  10,156 ","  8,706 "
Punjab,"  18,704,461 ","  9,872,122 ","  8,832,339 ","  13,729,021 ","  7,253,554 ","  6,475,467 ","  4,975,440 ","  2,618,568 ","  2,356,872 "
Rajasthan,"  834,243 ","  440,363 ","  393,880 ","  650,943 ","  342,727 ","  308,216 ","  183,300 ","  97,636 ","  85,664 "
Sikkim,  526 ,  306 ,  220 ,  404 ,  237 ,  167 ,  122 ,  69 ,  53 
Tamil Nadu,"  5,536 ","  3,005 ","  2,531 ",  637 ,  376 ,  261 ,"  4,899 ","  2,629 ","  2,270 "
Tripura,"  1,230 ","  1,011 ",  219 ,"  1,095 ",  932 ,  163 ,  135 ,  79 ,  56 
Uttar Pradesh,"  661,215 ","  350,458 ","  310,757 ","  404,647 ","  216,362 ","  188,285 ","  256,568 ","  134,096 ","  122,472 "
West Bengal,"  71,376 ","  39,707 ","  31,669 ","  6,287 ","  3,834 ","  2,453 ","  65,089 ","  35,873 ","  29,216 "
Andaman & Nicobar Isl,"  1,752 ",  938 ,  814 ,  913 ,  499 ,  414 ,  839 ,  439 ,  400 
Chandigarh ,"  222,890 ","  118,155 ","  104,735 ","  25,973 ","  14,526 ","  11,447 ","  196,917 ","  103,629 ","  93,288 "
Dadra & Nagar Haveli,  30 ,  17 ,  13 ,  15 ,  9 ,  6 ,  15 ,  8 ,  7 
Daman & Diu,  134 ,  79 ,  55 ,  23 ,  14 ,  9 ,  111 ,  65 ,  46 
Delhi ,"  748,145 ","  386,004 ","  362,141 ","  16,496 ","  8,917 ","  7,579 ","  731,649 ","  377,087 ","  354,562 "
Lakshadweep ,  2 ,  1 ,  1 ,  -   ,  -   ,  -   ,  2 ,  1 ,  1 
Pondicherry ,  117 ,  70 ,  47 ,  2 ,  2 ,  -   ,  115 ,  68 ,  47 
