AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  49,736 ","  27,974 ","  21,762 ","  42,833 ","  23,873 ","  18,960 ","  6,903 ","  4,101 ","  2,802 "
Andhra Pradesh,  199 ,  119 ,  80 ,  65 ,  44 ,  21 ,  134 ,  75 ,  59 
Arunachal Pradesh,  6 ,  4 ,  2 ,  6 ,  4 ,  2 ,  -   ,  -   ,  -   
Assam,  7 ,  4 ,  3 ,  1 ,  1 ,  -   ,  6 ,  3 ,  3 
Bihar,  802 ,  448 ,  354 ,  484 ,  274 ,  210 ,  318 ,  174 ,  144 
Goa,  8 ,  5 ,  3 ,  5 ,  3 ,  2 ,  3 ,  2 ,  1 
Gujarat,  81 ,  53 ,  28 ,  22 ,  17 ,  5 ,  59 ,  36 ,  23 
Haryana,  575 ,  473 ,  102 ,  349 ,  323 ,  26 ,  226 ,  150 ,  76 
Himachal Pradesh,  167 ,  99 ,  68 ,  73 ,  45 ,  28 ,  94 ,  54 ,  40 
Karnataka,  695 ,  388 ,  307 ,  424 ,  235 ,  189 ,  271 ,  153 ,  118 
Kerala,  31 ,  17 ,  14 ,  7 ,  5 ,  2 ,  24 ,  12 ,  12 
Madhya Pradesh,  650 ,  394 ,  256 ,  81 ,  52 ,  29 ,  569 ,  342 ,  227 
Maharashtra,  277 ,  157 ,  120 ,  60 ,  33 ,  27 ,  217 ,  124 ,  93 
Meghalaya,  8 ,  4 ,  4 ,  -   ,  -   ,  -   ,  8 ,  4 ,  4 
Nagaland,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 ,  1 ,  -   
Orissa,  78 ,  53 ,  25 ,  3 ,  3 ,  -   ,  75 ,  50 ,  25 
Punjab,  26 ,  15 ,  11 ,  7 ,  3 ,  4 ,  19 ,  12 ,  7 
Rajasthan,  433 ,  302 ,  131 ,  221 ,  132 ,  89 ,  212 ,  170 ,  42 
Tamil Nadu,  169 ,  94 ,  75 ,  65 ,  37 ,  28 ,  104 ,  57 ,  47 
Tripura,  1 ,  1 ,  -   ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Uttar Pradesh,"  44,847 ","  24,875 ","  19,972 ","  40,807 ","  22,560 ","  18,247 ","  4,040 ","  2,315 ","  1,725 "
West Bengal,  41 ,  21 ,  20 ,  22 ,  15 ,  7 ,  19 ,  6 ,  13 
Chandigarh ,  45 ,  36 ,  9 ,  -   ,  -   ,  -   ,  45 ,  36 ,  9 
Delhi ,  587 ,  409 ,  178 ,  130 ,  86 ,  44 ,  457 ,  323 ,  134 
Pondicherry ,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  2 ,  2 ,  -   
