AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  2,122,848 ","  1,080,882 ","  1,041,966 ","  440,446 ","  226,013 ","  214,433 ","  1,682,402 ","  854,869 ","  827,533 "
Andhra Pradesh,"  12,919 ","  6,563 ","  6,356 ",  102 ,  61 ,  41 ,"  12,817 ","  6,502 ","  6,315 "
Arunachal Pradesh,  25 ,  18 ,  7 ,  25 ,  18 ,  7 ,  -   ,  -   ,  -   
Assam,  852 ,  462 ,  390 ,  576 ,  302 ,  274 ,  276 ,  160 ,  116 
Bihar,"  4,766 ","  2,537 ","  2,229 ",  219 ,  126 ,  93 ,"  4,547 ","  2,411 ","  2,136 "
Goa,  372 ,  185 ,  187 ,  22 ,  10 ,  12 ,  350 ,  175 ,  175 
Gujarat,"  704,088 ","  357,541 ","  346,547 ","  317,891 ","  160,839 ","  157,052 ","  386,197 ","  196,702 ","  189,495 "
Haryana,  369 ,  179 ,  190 ,  44 ,  22 ,  22 ,  325 ,  157 ,  168 
Himachal Pradesh,  87 ,  49 ,  38 ,  35 ,  21 ,  14 ,  52 ,  28 ,  24 
Karnataka,"  13,930 ","  6,979 ","  6,951 ",  94 ,  57 ,  37 ,"  13,836 ","  6,922 ","  6,914 "
Kerala,"  1,185 ",  596 ,  589 ,  9 ,  3 ,  6 ,"  1,176 ",  593 ,  583 
Madhya Pradesh,"  322,074 ","  165,140 ","  156,934 ","  8,878 ","  4,812 ","  4,066 ","  313,196 ","  160,328 ","  152,868 "
Maharashtra,"  618,696 ","  311,817 ","  306,879 ","  8,790 ","  4,790 ","  4,000 ","  609,906 ","  307,027 ","  302,879 "
Manipur,  11 ,  9 ,  2 ,  7 ,  5 ,  2 ,  4 ,  4 ,  -   
Meghalaya,  333 ,  185 ,  148 ,  31 ,  19 ,  12 ,  302 ,  166 ,  136 
Mizoram,  1 ,  1 ,  -   ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Nagaland,  7 ,  6 ,  1 ,  6 ,  5 ,  1 ,  1 ,  1 ,  -   
Orissa,"  2,612 ","  1,388 ","  1,224 ",  214 ,  104 ,  110 ,"  2,398 ","  1,284 ","  1,114 "
Punjab,  326 ,  158 ,  168 ,  69 ,  24 ,  45 ,  257 ,  134 ,  123 
Rajasthan,"  336,523 ","  174,126 ","  162,397 ","  94,878 ","  50,268 ","  44,610 ","  241,645 ","  123,858 ","  117,787 "
Sikkim,  6 ,  5 ,  1 ,  5 ,  4 ,  1 ,  1 ,  1 ,  -   
Tamil Nadu,"  8,257 ","  4,154 ","  4,103 ",  43 ,  24 ,  19 ,"  8,214 ","  4,130 ","  4,084 "
Tripura,  11 ,  7 ,  4 ,  10 ,  6 ,  4 ,  1 ,  1 ,  -   
Uttar Pradesh,"  52,168 ","  26,909 ","  25,259 ","  7,376 ","  3,898 ","  3,478 ","  44,792 ","  23,011 ","  21,781 "
West Bengal,"  5,404 ","  2,800 ","  2,604 ",  524 ,  284 ,  240 ,"  4,880 ","  2,516 ","  2,364 "
Andaman & Nicobar Isl,  24 ,  14 ,  10 ,  3 ,  2 ,  1 ,  21 ,  12 ,  9 
Chandigarh ,  171 ,  88 ,  83 ,  -   ,  -   ,  -   ,  171 ,  88 ,  83 
Dadra & Nagar Haveli,  122 ,  65 ,  57 ,  33 ,  18 ,  15 ,  89 ,  47 ,  42 
Daman & Diu,  80 ,  44 ,  36 ,  2 ,  2 ,  -   ,  78 ,  42 ,  36 
Delhi ,"  37,381 ","  18,835 ","  18,546 ",  559 ,  288 ,  271 ,"  36,822 ","  18,547 ","  18,275 "
Pondicherry ,  48 ,  22 ,  26 ,  -   ,  -   ,  -   ,  48 ,  22 ,  26 
