AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  53,006,368 ","  26,914,118 ","  26,092,250 ","  34,697,651 ","  17,537,135 ","  17,160,516 ","  18,308,717 ","  9,376,983 ","  8,931,734 "
Andhra Pradesh,"  753,484 ","  387,503 ","  365,981 ","  466,151 ","  237,871 ","  228,280 ","  287,333 ","  149,632 ","  137,701 "
Arunachal Pradesh,  887 ,  652 ,  235 ,  567 ,  424 ,  143 ,  320 ,  228 ,  92 
Assam,"  1,770 ","  1,175 ",  595 ,  696 ,  494 ,  202 ,"  1,074 ",  681 ,  393 
Bihar,"  16,304 ","  8,776 ","  7,528 ","  1,293 ",  879 ,  414 ,"  15,011 ","  7,897 ","  7,114 "
Goa,"  6,818 ","  4,103 ","  2,715 ","  2,280 ","  1,304 ",  976 ,"  4,538 ","  2,799 ","  1,739 "
Gujarat,"  34,498 ","  19,843 ","  14,655 ","  2,766 ","  1,870 ",  896 ,"  31,732 ","  17,973 ","  13,759 "
Haryana,"  5,202 ","  2,619 ","  2,583 ","  1,062 ",  503 ,  559 ,"  4,140 ","  2,116 ","  2,024 "
Himachal Pradesh,  569 ,  370 ,  199 ,  279 ,  210 ,  69 ,  290 ,  160 ,  130 
Karnataka,"  1,728,361 ","  896,809 ","  831,552 ","  436,450 ","  227,743 ","  208,707 ","  1,291,911 ","  669,066 ","  622,845 "
Kerala,"  616,010 ","  324,921 ","  291,089 ","  448,090 ","  235,290 ","  212,800 ","  167,920 ","  89,631 ","  78,289 "
Madhya Pradesh,"  38,562 ","  21,512 ","  17,050 ","  4,711 ","  2,694 ","  2,017 ","  33,851 ","  18,818 ","  15,033 "
Maharashtra,"  427,447 ","  235,799 ","  191,648 ","  24,341 ","  13,655 ","  10,686 ","  403,106 ","  222,144 ","  180,962 "
Manipur,"  2,600 ","  1,424 ","  1,176 ",  226 ,  177 ,  49 ,"  2,374 ","  1,247 ","  1,127 "
Meghalaya,  642 ,  429 ,  213 ,  285 ,  188 ,  97 ,  357 ,  241 ,  116 
Mizoram,  331 ,  286 ,  45 ,  170 ,  154 ,  16 ,  161 ,  132 ,  29 
Nagaland,"  1,166 ",  838 ,  328 ,  671 ,  506 ,  165 ,  495 ,  332 ,  163 
Orissa,"  11,502 ","  6,578 ","  4,924 ","  3,989 ","  2,326 ","  1,663 ","  7,513 ","  4,252 ","  3,261 "
Punjab,"  6,271 ","  3,283 ","  2,988 ","  1,981 ",  912 ,"  1,069 ","  4,290 ","  2,371 ","  1,919 "
Rajasthan,"  12,461 ","  8,315 ","  4,146 ","  2,485 ","  1,747 ",  738 ,"  9,976 ","  6,568 ","  3,408 "
Sikkim,  169 ,  100 ,  69 ,  141 ,  78 ,  63 ,  28 ,  22 ,  6 
Tamil Nadu,"  48,434,744 ","  24,520,782 ","  23,913,962 ","  32,972,931 ","  16,639,834 ","  16,333,097 ","  15,461,813 ","  7,880,948 ","  7,580,865 "
Tripura,  423 ,  324 ,  99 ,  361 ,  286 ,  75 ,  62 ,  38 ,  24 
Uttar Pradesh,"  15,569 ","  9,111 ","  6,458 ","  2,225 ","  1,427 ",  798 ,"  13,344 ","  7,684 ","  5,660 "
West Bengal,"  25,797 ","  13,831 ","  11,966 ","  1,586 ","  1,022 ",  564 ,"  24,211 ","  12,809 ","  11,402 "
Andaman & Nicobar Isl,"  53,536 ","  31,476 ","  22,060 ","  31,789 ","  18,363 ","  13,426 ","  21,747 ","  13,113 ","  8,634 "
Chandigarh ,"  5,318 ","  2,850 ","  2,468 ",  357 ,  183 ,  174 ,"  4,961 ","  2,667 ","  2,294 "
Dadra & Nagar Haveli,  199 ,  134 ,  65 ,  87 ,  63 ,  24 ,  112 ,  71 ,  41 
Daman & Diu,  100 ,  73 ,  27 ,  37 ,  26 ,  11 ,  63 ,  47 ,  16 
Delhi ,"  84,873 ","  45,210 ","  39,663 ","  3,440 ","  1,843 ","  1,597 ","  81,433 ","  43,367 ","  38,066 "
Lakshadweep ,  282 ,  268 ,  14 ,  55 ,  54 ,  1 ,  227 ,  214 ,  13 
Pondicherry ,"  720,473 ","  364,724 ","  355,749 ","  286,149 ","  145,009 ","  141,140 ","  434,324 ","  219,715 ","  214,609 "
