AREA_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M,RURAL_F,URBAN_P,URBAN_M,URBAN_F
I N D I A ,"  43,406,932 ","  22,633,528 ","  20,773,404 ","  20,046,872 ","  10,353,890 ","  9,692,982 ","  23,360,060 ","  12,279,638 ","  11,080,422 "
Andhra Pradesh,"  5,560,154 ","  2,836,179 ","  2,723,975 ","  2,205,054 ","  1,120,395 ","  1,084,659 ","  3,355,100 ","  1,715,784 ","  1,639,316 "
Arunachal Pradesh,"  1,370 ",  885 ,  485 ,  701 ,  474 ,  227 ,  669 ,  411 ,  258 
Assam,"  3,935 ","  2,423 ","  1,512 ","  2,095 ","  1,243 ",  852 ,"  1,840 ","  1,180 ",  660 
Bihar,"  8,542,463 ","  4,428,567 ","  4,113,896 ","  6,947,057 ","  3,579,499 ","  3,367,558 ","  1,595,406 ","  849,068 ","  746,338 "
Goa,"  39,944 ","  20,997 ","  18,947 ","  10,565 ","  5,566 ","  4,999 ","  29,379 ","  15,431 ","  13,948 "
Gujarat,"  547,737 ","  283,619 ","  264,118 ","  49,403 ","  25,704 ","  23,699 ","  498,334 ","  257,915 ","  240,419 "
Haryana,"  261,820 ","  139,636 ","  122,184 ","  239,755 ","  127,054 ","  112,701 ","  22,065 ","  12,582 ","  9,483 "
Himachal Pradesh,"  8,252 ","  4,766 ","  3,486 ","  5,841 ","  3,246 ","  2,595 ","  2,411 ","  1,520 ",  891 
Karnataka,"  4,480,038 ","  2,293,424 ","  2,186,614 ","  1,779,379 ","  906,918 ","  872,461 ","  2,700,659 ","  1,386,506 ","  1,314,153 "
Kerala,"  12,625 ","  6,340 ","  6,285 ","  6,654 ","  3,315 ","  3,339 ","  5,971 ","  3,025 ","  2,946 "
Madhya Pradesh,"  1,227,672 ","  636,114 ","  591,558 ","  195,672 ","  102,194 ","  93,478 ","  1,032,000 ","  533,920 ","  498,080 "
Maharashtra,"  5,734,468 ","  3,004,407 ","  2,730,061 ","  1,708,100 ","  866,864 ","  841,236 ","  4,026,368 ","  2,137,543 ","  1,888,825 "
Manipur,  193 ,  148 ,  45 ,  75 ,  64 ,  11 ,  118 ,  84 ,  34 
Meghalaya,"  2,863 ","  1,916 ",  947 ,  558 ,  432 ,  126 ,"  2,305 ","  1,484 ",  821 
Mizoram,  349 ,  318 ,  31 ,  56 ,  48 ,  8 ,  293 ,  270 ,  23 
Nagaland,"  1,381 ",  878 ,  503 ,  832 ,  483 ,  349 ,  549 ,  395 ,  154 
Orissa,"  502,102 ","  257,339 ","  244,763 ","  306,521 ","  153,238 ","  153,283 ","  195,581 ","  104,101 ","  91,480 "
Punjab,"  13,416 ","  8,062 ","  5,354 ","  4,874 ","  2,891 ","  1,983 ","  8,542 ","  5,171 ","  3,371 "
Rajasthan,"  953,497 ","  492,466 ","  461,031 ","  151,317 ","  78,283 ","  73,034 ","  802,180 ","  414,183 ","  387,997 "
Sikkim,"  1,703 ","  1,244 ",  459 ,  900 ,  645 ,  255 ,  803 ,  599 ,  204 
Tamil Nadu,"  1,036,660 ","  525,499 ","  511,161 ","  285,039 ","  144,306 ","  140,733 ","  751,621 ","  381,193 ","  370,428 "
Tripura,  173 ,  109 ,  64 ,  159 ,  100 ,  59 ,  14 ,  9 ,  5 
Uttar Pradesh,"  12,492,927 ","  6,585,327 ","  5,907,600 ","  5,777,626 ","  3,038,682 ","  2,738,944 ","  6,715,301 ","  3,546,645 ","  3,168,656 "
West Bengal,"  1,455,649 ","  814,628 ","  641,021 ","  345,870 ","  179,545 ","  166,325 ","  1,109,779 ","  635,083 ","  474,696 "
Andaman & Nicobar Isl,"  1,492 ",  805 ,  687 ,  352 ,  194 ,  158 ,"  1,140 ",  611 ,  529 
Chandigarh ,"  4,570 ","  2,799 ","  1,771 ",  188 ,  127 ,  61 ,"  4,382 ","  2,672 ","  1,710 "
Dadra & Nagar Haveli,  198 ,  120 ,  78 ,  106 ,  71 ,  35 ,  92 ,  49 ,  43 
Daman & Diu,  84 ,  46 ,  38 ,  30 ,  18 ,  12 ,  54 ,  28 ,  26 
Delhi ,"  512,990 ","  281,333 ","  231,657 ","  21,344 ","  11,913 ","  9,431 ","  491,646 ","  269,420 ","  222,226 "
Lakshadweep ,  37 ,  22 ,  15 ,  1 ,  1 ,  -   ,  36 ,  21 ,  15 
Pondicherry ,"  6,170 ","  3,112 ","  3,058 ",  748 ,  377 ,  371 ,"  5,422 ","  2,735 ","  2,687 "
