AREA_NAME,ASSAMESE,BENGALI ,BODO ,DOGRI ,GUJARATI,Others,HINDI ,KANNADA,KASHMIRI ,KONKANI,MAITHILI ,MALAYALAM,MANIPURI ,MARATHI ,NEPALI ,ODIA ,PUNJABI ,SANSKRIT ,SINDHI,TAMIL ,TELUGU ,URDU,ADI ,ARABIC/ARBI ,BHOTIA ,COORGI/KODAGU ,ENGLISH ,KHASI ,KUKI,KURUKH/ORAON ,LAHNDA ,Others ,LUSHAI/MIZO ,MARAM,MUNDA,MUNDARI ,NISSI/DAFLA ,SAVARA,TIBETAN ,TULU ,OTHERS,SANTALI ,AFGHANI/KABULI/PASHTO ,ANAL ,ANGAMI ,AO ,BHILI/BHILODI ,BHUMIJ ,CHAKRU/CHOKRI ,DIMASA ,GANGTE ,GARO ,GONDI,HALAM ,HMAR,HO,KABUI ,KARBI/MIKIR ,KHANDESHI,KHARIA ,KHEZHA ,KISAN ,KOCH ,KODA/KORA ,KOM,KONDA,KORKU ,KORWA ,KUI ,LADAKHI ,LAHAULI ,LAKHER,LEPCHA ,LIMBU ,LOTHA ,MAO,MARING ,MISHMI ,MOGH ,MONPA ,NICOBARESE ,PAITE,PARJI ,POCHURY,RABHA ,RENGMA ,SANGTAM ,SEMA,TANGKHUL ,THADO ,TRIPURI ,VAIPHEI ,ZELIANG ,ZEMI ,KINNAURI ,MALTO ,RAI ,TAMANG ,CHAKHESANG ,CHANG ,HALABI,KOLAMI ,MIRI/MISHING,SHERPA ,TANGSA,YIMCHUNGRE,BISHNUPURIYA,DEORI ,GADABA ,JATAPU ,KHIEMNUNGAN,KHOND/KONDH ,KONYAK ,NOCTE ,SHINA,WANCHO,ZOU ,KOYA ,LIANGMEI ,PHOM ,BALTI ,PAWI ,JUANG ,LALUNG 
ANDHRA PRADESH,2199,36212,576,732.0,53598,5,864740,134192,549.0,2574,1185.0,52740,1115.0,240402,9066,97839,22512,434.0,11111.0,325660,21316887,4999581,45.0,726.0,69.0,53.0,10985,28.0,66.0,57.0,35.0,30.0,249.0,1.0,50.0,41.0,7.0,946.0,16.0,515.0,10711,194.0,14.0,2.0,17.0,29.0,4412.0,8.0,2.0,17.0,0.0,24.0,8938.0,6.0,16.0,12.0,29.0,0.0,3.0,67.0,6.0,0.0,10.0,3.0,3.0,1195.0,3.0,5.0,24.0,2.0,2.0,11.0,3.0,0.0,18.0,10.0,0.0,1.0,2.0,6.0,5.0,22.0,16.0,4.0,0.0,4.0,0.0,9.0,8.0,41.0,37.0,16.0,1.0,0.0,11.0,4.0,0.0,1.0,1.0,3.0,4.0,590.0,0.0,19.0,3.0,0.0,0.0,6.0,58.0,50.0,0.0,105.0,6.0,0.0,0.0,7.0,30.0,4406.0,7.0,3.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,18786,33905,2037,428.0,98,757,47495,219,68.0,29,1804.0,2460,1704.0,789,30183,2102,1962,4.0,10.0,432,707,679,47265.0,2.0,7504.0,0.0,39,107.0,83.0,269.0,2.0,3.0,433.0,8.0,249.0,84.0,76303.0,142.0,948.0,1.0,9566,111.0,0.0,4.0,19.0,224.0,4.0,0.0,2.0,8.0,3.0,386.0,2.0,1.0,7.0,6.0,22.0,168.0,0.0,43.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,11.0,0.0,7.0,8.0,52.0,16.0,60.0,1.0,4973.0,8.0,3432.0,1.0,33.0,1.0,0.0,32.0,28.0,0.0,20.0,35.0,24.0,55.0,4.0,1.0,1.0,3.0,0.0,102.0,361.0,2.0,1.0,1.0,0.0,2530.0,80.0,3425.0,4.0,29.0,446.0,0.0,0.0,8.0,0.0,1.0,6167.0,0.0,5465.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0
ASSAM,2055522,1461903,50131,401.0,1101,41,546789,631,72.0,71,4682.0,1923,27711.0,2091,69494,9144,13281,50.0,326.0,1478,14810,3146,173.0,310.0,27.0,3.0,612,1400.0,4109.0,1593.0,2.0,23.0,1722.0,0.0,664.0,229.0,95.0,395.0,87.0,26.0,12335,2238.0,41.0,13.0,48.0,503.0,534.0,8.0,3.0,14007.0,36.0,6048.0,28.0,206.0,6655.0,7.0,1305.0,46509.0,0.0,299.0,5.0,0.0,358.0,0.0,2.0,0.0,0.0,18.0,0.0,1.0,4.0,7.0,3.0,0.0,32.0,54.0,0.0,152.0,31.0,19.0,0.0,229.0,7.0,0.0,3091.0,370.0,5.0,43.0,100.0,295.0,340.0,175.0,13.0,3520.0,0.0,111.0,25.0,51.0,7.0,0.0,0.0,0.0,11180.0,0.0,88.0,12.0,8236.0,1573.0,0.0,0.0,1.0,0.0,0.0,46.0,1.0,12.0,17.0,0.0,6.0,0.0,1.0,1.0,0.0,1273.0
BIHAR,640,76713,7,104.0,1586,1,9316604,199,230.0,17,667058.0,1018,81.0,811,1887,1074,7534,347.0,1186.0,586,762,1647924,21.0,3093.0,9.0,87.0,2154,0.0,3.0,10101.0,0.0,25.0,28.0,0.0,140.0,483.0,8.0,0.0,17.0,25.0,3661,11178.0,0.0,0.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,231.0,0.0,0.0,2.0,64.0,1.0,0.0,1.0,76.0,0.0,3.0,0.0,13.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,86.0,0.0,0.0,0.0,82.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANDIGARH,406,6059,6,1026.0,1564,3,756395,425,1304.0,86,2806.0,1960,460.0,1237,6251,1910,225183,13.0,134.0,5573,1317,10351,2.0,47.0,52.0,6.0,435,12.0,0.0,39.0,96.0,1.0,22.0,0.0,63.0,45.0,0.0,3.0,40.0,8.0,626,38.0,20.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,269.0,23.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,56.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CHHATTISGARH,531,112275,34,350.0,34135,39,4987611,1603,90.0,145,8039.0,21855,84.0,104400,2902,182770,62115,198.0,92105.0,9042,101868,69369,1.0,339.0,15.0,0.0,1267,1.0,1.0,40147.0,11.0,1.0,16.0,0.0,1281.0,252.0,8.0,0.0,0.0,21.0,1448,1636.0,103.0,0.0,5.0,16.0,72.0,10.0,0.0,10.0,0.0,8.0,39241.0,2.0,1.0,1244.0,6.0,1.0,571.0,777.0,4.0,7.0,1.0,13.0,0.0,3.0,14.0,420.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,470.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,56224.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
DADRA & NAGAR HAVELI,538,2524,16,3.0,45134,1,69924,817,9.0,206,1958.0,2033,68.0,18934,931,3323,350,0.0,451.0,665,702,851,0.0,0.0,0.0,0.0,237,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,42.0,635,44.0,0.0,0.0,0.0,0.0,10022.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,126.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMAN & DIU,1048,4847,21,2.0,71551,2,82601,413,3.0,142,978.0,1124,12.0,10192,1195,3958,218,2.0,365.0,308,452,928,2.0,15.0,0.0,2.0,173,0.0,0.0,21.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,24.0,1675,81.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOA,770,5816,27,105.0,5976,3,123091,53972,281.0,546538,224.0,11205,243.0,87079,1982,4214,1641,670.0,571.0,5663,8793,36079,3.0,64.0,2.0,56.0,7655,13.0,1.0,83.0,62.0,7.0,31.0,0.0,17.0,63.0,2.0,8.0,51.0,785.0,1497,46.0,14.0,4.0,2.0,5.0,699.0,0.0,0.0,2.0,0.0,7.0,144.0,0.0,0.0,0.0,2.0,1.0,8.0,34.0,0.0,0.0,1.0,0.0,109.0,0.0,231.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,23.0,106.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJARAT,2935,70192,81,1915.0,19498567,2,3755547,16102,1052.0,1684,9505.0,61033,352.0,857802,22056,170147,55391,680.0,591794.0,37593,69590,460511,36.0,276.0,1.0,14.0,3890,13.0,13.0,94.0,3662.0,249.0,32.0,1.0,16.0,82.0,65.0,1.0,17.0,993.0,9165,268.0,78.0,3.0,14.0,2.0,27023.0,3.0,0.0,2.0,1.0,11.0,376.0,1.0,2.0,30.0,0.0,1.0,12758.0,59.0,6.0,0.0,0.0,15.0,0.0,7.0,0.0,8.0,0.0,10.0,0.0,1.0,1.0,0.0,4.0,65.0,0.0,5.0,1.0,0.0,4.0,2.0,34.0,3.0,102.0,0.0,0.0,0.0,0.0,3.0,144.0,0.0,0.0,4.0,5.0,1.0,0.0,3.0,0.0,0.0,1051.0,0.0,10.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0
